,match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,metadata,match_week,competition_stage,stadium,referee
0,19743,2018-10-21,13:30:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 4, 'season_name': '2018/2019'}","{'home_team_id': 969, 'home_team_name': 'Birmingham City WFC', 'home_team_gender': 'female', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 128, 'name': 'Marc Skinner', 'nickname': None, 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 971, 'away_team_name': 'Chelsea FCW', 'away_team_gender': 'female', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 152, 'name': 'Emma Hayes', 'nickname': None, 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}",0,0,available,processing,2021-04-28T07:08:31.946271,,{'data_version': '1.0.3'},6,"{'id': 1, 'name': 'Regular Season'}","{'id': 5332, 'name': 'SportNation.bet Stadium', 'country': {'id': 255, 'name': 'International'}}","{'id': 898, 'name': 'A. Fearn', 'country': {'id': 68, 'name': 'England'}}"
1,19740,2018-10-21,16:00:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 4, 'season_name': '2018/2019'}","{'home_team_id': 972, 'home_team_name': 'West Ham United LFC', 'home_team_gender': 'female', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 139, 'name': 'Matt Beard', 'nickname': None, 'dob': '1978-01-09', 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 966, 'away_team_name': 'Liverpool WFC', 'away_team_gender': 'female', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 153, 'name': 'Chris Kirkland', 'nickname': None, 'dob': '1981-05-02', 'country': {'id': 68, 'name': 'England'}}]}",0,1,available,unscheduled,2020-07-29T05:00,,{'data_version': '1.0.3'},6,"{'id': 1, 'name': 'Regular Season'}","{'id': 4062, 'name': 'The Rush Green Stadium', 'country': {'id': 68, 'name': 'England'}}","{'id': 568, 'name': 'J. Packman', 'country': {'id': 68, 'name': 'England'}}"
2,19716,2018-09-09,15:00:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 4, 'season_name': '2018/2019'}","{'home_team_id': 974, 'home_team_name': 'Reading WFC', 'home_team_gender': 'female', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 144, 'name': 'Kelly Chambers', 'nickname': None, 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 970, 'away_team_name': 'Yeovil Town LFC', 'away_team_gender': 'female', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 147, 'name': 'Lee Burch', 'nickname': None, 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}",4,0,available,unscheduled,2020-07-29T05:00,,{'data_version': '1.0.3'},1,"{'id': 1, 'name': 'Regular Season'}","{'id': 577, 'name': 'Adams Park', 'country': {'id': 68, 'name': 'England'}}","{'id': 567, 'name': 'H. Conley', 'country': {'id': 68, 'name': 'England'}}"
3,19800,2019-03-14,20:30:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 4, 'season_name': '2018/2019'}","{'home_team_id': 968, 'home_team_name': 'Arsenal WFC', 'home_team_gender': 'female', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 31, 'name': 'Joseph Montemurro', 'nickname': None, 'dob': None, 'country': {'id': 14, 'name': 'Australia'}}]}","{'away_team_id': 973, 'away_team_name': 'Bristol City WFC', 'away_team_gender': 'female', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 143, 'name': 'Tanya Oxtoby', 'nickname': None, 'dob': None, 'country': {'id': 14, 'name': 'Australia'}}]}",4,0,available,unscheduled,2020-08-24T14:34:34.401523,,{'data_version': '1.1.0'},18,"{'id': 1, 'name': 'Regular Season'}","{'id': 456, 'name': 'Meadow Park', 'country': {'id': 68, 'name': 'England'}}","{'id': 915, 'name': 'R. Whitton', 'country': {'id': 68, 'name': 'England'}}"
4,19739,2018-10-21,15:00:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 4, 'season_name': '2018/2019'}","{'home_team_id': 965, 'home_team_name': 'Brighton & Hove Albion WFC', 'home_team_gender': 'female', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 149, 'name': 'Hope Patricia Powell', 'nickname': 'Hope Powell', 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 746, 'away_team_name': 'Manchester City WFC', 'away_team_gender': 'female', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 30, 'name': 'Nick Cushing', 'nickname': None, 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}",0,6,available,unscheduled,2020-07-29T05:00,,{'data_version': '1.0.3'},6,"{'id': 1, 'name': 'Regular Season'}",,
5,19734,2018-10-14,15:00:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 4, 'season_name': '2018/2019'}","{'home_team_id': 967, 'home_team_name': 'Everton LFC', 'home_team_gender': 'female', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 146, 'name': 'Andy Spence', 'nickname': None, 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 965, 'away_team_name': 'Brighton & Hove Albion WFC', 'away_team_gender': 'female', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 149, 'name': 'Hope Patricia Powell', 'nickname': 'Hope Powell', 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}",3,3,available,unscheduled,2020-07-29T05:00,,{'data_version': '1.0.3'},5,"{'id': 1, 'name': 'Regular Season'}","{'id': 111, 'name': 'Haig Avenue', 'country': {'id': 68, 'name': 'England'}}","{'id': 906, 'name': 'S. Copeland'}"
6,19748,2018-10-28,13:30:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 4, 'season_name': '2018/2019'}","{'home_team_id': 971, 'home_team_name': 'Chelsea FCW', 'home_team_gender': 'female', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 152, 'name': 'Emma Hayes', 'nickname': None, 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 966, 'away_team_name': 'Liverpool WFC', 'away_team_gender': 'female', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 623, 'name': 'Victoria Jepson', 'nickname': None, 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}",1,0,available,unscheduled,2020-07-29T05:00,,{'data_version': '1.0.3'},7,"{'id': 1, 'name': 'Regular Season'}","{'id': 4279, 'name': 'The Cherry Red Records Stadium', 'country': {'id': 68, 'name': 'England'}}","{'id': 893, 'name': 'S. Pearson'}"
7,19822,2019-05-11,13:30:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 4, 'season_name': '2018/2019'}","{'home_team_id': 970, 'home_team_name': 'Yeovil Town LFC', 'home_team_gender': 'female', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 147, 'name': 'Lee Burch', 'nickname': None, 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}","{'away_team_id': 969, 'away_team_name': 'Birmingham City WFC', 'away_team_gender': 'female', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 1817, 'name': 'Marta Tejedor', 'nickname': None, 'dob': None, 'country': {'id': 45, 'name': 'Chile'}}]}",0,2,available,processing,2021-04-28T19:48:01.139592,,"{'data_version': '1.1.0', 'shot_fidelity_version': '2'}",22,"{'id': 1, 'name': 'Regular Season'}","{'id': 4847, 'name': 'Clayson Stadium', 'country': {'id': 255, 'name': 'International'}}","{'id': 914, 'name': 'K. Dowle', 'country': {'id': 68, 'name': 'England'}}"
8,19766,2018-11-25,13:30:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 4, 'season_name': '2018/2019'}","{'home_team_id': 968, 'home_team_name': 'Arsenal WFC', 'home_team_gender': 'female', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 31, 'name': 'Joseph Montemurro', 'nickname': None, 'dob': None, 'country': {'id': 14, 'name': 'Australia'}}]}","{'away_team_id': 965, 'away_team_name': 'Brighton & Hove Albion WFC', 'away_team_gender': 'female', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 149, 'name': 'Hope Patricia Powell', 'nickname': 'Hope Powell', 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}",4,1,available,unscheduled,2020-07-29T05:00,,{'data_version': '1.0.3'},10,"{'id': 1, 'name': 'Regular Season'}","{'id': 456, 'name': 'Meadow Park', 'country': {'id': 68, 'name': 'England'}}","{'id': 915, 'name': 'R. Whitton', 'country': {'id': 68, 'name': 'England'}}"
9,19785,2019-01-13,13:30:00.000,"{'competition_id': 37, 'country_name': 'England', 'competition_name': ""FA Women's Super League""}","{'season_id': 4, 'season_name': '2018/2019'}","{'home_team_id': 968, 'home_team_name': 'Arsenal WFC', 'home_team_gender': 'female', 'home_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 31, 'name': 'Joseph Montemurro', 'nickname': None, 'dob': None, 'country': {'id': 14, 'name': 'Australia'}}]}","{'away_team_id': 971, 'away_team_name': 'Chelsea FCW', 'away_team_gender': 'female', 'away_team_group': None, 'country': {'id': 68, 'name': 'England'}, 'managers': [{'id': 152, 'name': 'Emma Hayes', 'nickname': None, 'dob': None, 'country': {'id': 68, 'name': 'England'}}]}",1,2,available,unscheduled,2020-07-29T05:00,,{'data_version': '1.0.3'},14,"{'id': 1, 'name': 'Regular Season'}","{'id': 456, 'name': 'Meadow Park', 'country': {'id': 68, 'name': 'England'}}","{'id': 977, 'name': 'R. Welch '}"
